name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement	orientation_component
headRigid_quat_w	ORNT	rad	84.4437497054329	HTCVive	headRigid	quat_w	head	quat_w
headRigid_quat_x	ORNT	rad	84.4437497054329	HTCVive	headRigid	quat_x	head	quat_x
headRigid_quat_y	ORNT	rad	84.4437497054329	HTCVive	headRigid	quat_y	head	quat_y
headRigid_quat_z	ORNT	rad	84.4437497054329	HTCVive	headRigid	quat_z	head	quat_z
headRigid_cart_x	POS	m	84.4437497054329	HTCVive	headRigid	x	head	x
headRigid_cart_y	POS	m	84.4437497054329	HTCVive	headRigid	y	head	y
headRigid_cart_z	POS	m	84.4437497054329	HTCVive	headRigid	z	head	z
Rigid_headRigid_PS_offset_yaw	MISC	n/a	84.4437497054329	HTCVive	headRigid	n/a	head	n/a
HTCVive_latency	LATENCY	seconds	84.4437497054329	HTCVive	n/a	n/a	n/a	n/a
