name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement	orientation_component
headRigid_quat_w	ORNT	rad	59.8930793415263	VIRPos	headRigid	quat_w	headRigid	quat_w
headRigid_quat_x	ORNT	rad	59.8930793415263	VIRPos	headRigid	quat_x	headRigid	quat_x
headRigid_quat_y	ORNT	rad	59.8930793415263	VIRPos	headRigid	quat_y	headRigid	quat_y
headRigid_quat_z	ORNT	rad	59.8930793415263	VIRPos	headRigid	quat_z	headRigid	quat_z
headRigid_cart_x	POS	vm	59.8930793415263	VIRPos	headRigid	x	headRigid	x
headRigid_cart_y	POS	vm	59.8930793415263	VIRPos	headRigid	y	headRigid	y
headRigid_cart_z	POS	vm	59.8930793415263	VIRPos	headRigid	z	headRigid	z
VIRPos_latency	LATENCY	seconds	59.8930793415263	VIRPos	n/a	n/a	n/a	n/a
